Title,Session_Code,Author,Affiliations,Text,Year
Polygenes and the Prevention of Cancer,PL01.,Ponder,"University of Cambridge, CRUK Department of Oncology, Hutchison/ MRC Research Centre, Cambridge, United Kingdom","Most common cancers show a tendency to familial clustering. The  risk to a close relative of a case is increased 2  to 3 fold. Most of this  effect is genetic in origin. Our analysis of familial clustering of breast  cancer suggests that known strongly predisposing genes such as  BRCA1/2 account for only 20% of the total genetic predisposition.  A substantial part of the remaining 80% may be attributed to the  combination of many common genetic variants, individually of small  effect. If this is so, different individuals in the population will inherit different  combinations of variant alleles. By analogy with a hand of cards,  some will have a âstrongâ hand (kings and queens; high risk), some a  âweakâ hand, and most will lie somewhere in between. The result will  be a bell shaped curve that describes the distribution of risk in the  population. From the viewpoint of practical application, the critical question is not  âhow much genetic risk is there?â but âhow is the risk distributed?â. If the difference in risk between individuals at high and low risk within  the population is small (say 2  to 3 fold), this may not be helpful : but  if it is 30  or 40 fold, the implications are very significant.I will discuss  these concepts, and the progress and obstacles in finding the genes  and other factors that would make up an individual risk profile.",2003
Prevention and Scar Free Healing of Cleft Lip and  Palate: applications from developmental research,PL02.,Ferguson,"School of Biological Sciences, University of Manchester, Manchester,  United Kingdom",No abstract available.,2003
"Life, Sex and WT1 Isoforms",PL03.,"Landomery1, J. Davies2, A. Ijpenberg1, M. Niksic1, C. Miles1, P.  Hohenstein1, S. Smith1, L. Spraggon1, A. Shafe1, J. Slight1, R. Munoz  Chapuli3, J. Sharpe1, N. Hastie1","1MRC Human Genetics Unit, Western General Hospital, Edinburgh,  United Kingdom, 2Department of Anatomy, Anatomy Building,  University of Edinburgh, Edinburgh, United Kingdom, 3Department  of Animal Biology, Faculty of Science, University of Malaga, Malaga,  Spain","Mutations in the Wilmsâ tumour gene, WT1 , may lead not only to  childhood kidney cancer but also to severe glomerular nephropathy  and sex reversal. The Wt1 gene may encode up to 24 slightly  different proteins through a combination of alternative splicing,  alternative translational start sites and RNA editing. All these  isoforms contain 4 C terminal zinc fingers similar to those found in  transcription factors. All non mammalian vertebrates express only two  of these WT1 isoforms differing by just 3 amino acids, KTS, inserted  by alternative splicing between zinc fingers 3 and 4. We have shown  that these WT1 (+KTS) and WT1 ( KTS) isoforms have remarkably  different properties, in terms of subnuclear localisation and interaction  with nucleic acids and proteins. Our findings suggest that the âKTS  isoforms function as transcription factors, whereas the +KTS isoforms  seem to function in RNA splicing. Both human genetics (Frasierâs  syndrome) and mouse knockouts show that these proteins have  different functions during genitourinary development and both are  required for survival. The +KTS proteins in particular are required  for male determination and function upstream of SRY. Mice lacking  WT1 have no kidneys or gonads and the heart is abnormal. I will  discuss some of the novel approaches we are taking to identifying the  functions of WT1 in the development of these tissues. This includes  the use of siRNA to inhibit WT1 expression in kidney organ cultures  and the use of a powerful new microscopic technique developed at  this Unit, optical projection tomography (OPT).",2003
Issues in setting up population DNA collections,PL04.,Metspalu,"University of Tartu, IMCB, Tartu, Estonia",No abstract available.,2003
A survey of practices in biobanking in Europe,PL05.,"Cambon Thomsen , on behalf of the EUROGENBANK  consortium","Inserm U 558, Toulouse, France","Large population based collections are only a part of the current  biobanking picture. The EU supported EUROGENBANK project  investigated human biobanking in Europe, particularly organisational,  economical and ethical issues. Data were collected from six EU  countries and 147 institutions (mostly public or non profit private)  were investigated by questionnaires and interviews. This activity  is increasing in all countries, but most collections are small; only  a few are very large. Their purpose is often research, or research  and healthcare, mostly in the context of disease studies. Specifi c  budget is rarely allocated and costs are not often evaluated. Samples  are usually provided free of charge. Good practice guidelines  are generally followed and quality controls performed, but quality  procedures are not always clearly explained. Associated data  are usually computerised and identifiable. Biobankers generally  favour centralisation of data rather than of samples. Legal and  ethical harmonisation within Europe is considered likely to facilitate  international collaboration. We propose a series of recommendations  arising from the project (Hirtzlin I et al.,  An empirical survey on  biobanking of human genetic material and data in six EU countries.  Eur J Hum Genet , 2003, in press) In conclusion, biobanking is a lively, diversified and growing activity  in Europe. Its rather loose organisation at small scale is not adapted  to forthcoming large scale projects that will need changes in the  way ethical issues are dealt with. Empirical studies such as the  EUROGENBANK survey, together with wide ranging exchange of  views at European level and multidisciplinary approaches, are useful  tools in this challenging field.",2003
What Use are Population DNA Collections?,PL06.,Zimmern,"Director, Public Health Genetics Unit, Strangeways Research  Laboratory, Cambridge, United Kingdom","The use of population DNA collections is growing across many  different parts of the world. The collections may comprise patients  with known diseases and controls, or individuals within a particular  country or geographical area. Epidemiologists make use of the data  derived from these collections either to correlate specific disease  with genetic variants or to study the combined effects of genetic  and environmental factors on disease risk. Standard case control  methodology is applied for collections based on disease, while for  collections of individuals that are followed over a period of time,  cohort study methodologies are used. This paper attempts to analyse  the utility of these collections from a public health perspective.  It investigates the extent to which such collections add to and  support the promotion of health and the prevention of disease, and  discusses the validity of their data for epidemiological analysis and  as predictors of disease risk. The establishment of these collections  is not entirely unproblematic. They raise concerns of privacy, consent  and confidentiality as well as those of working with the commercial  sector. If scientific progress is to be made, these ethical and social  implications must be addressed in tandem with the epidemiological  issues.",2003
Genetic Epilepsies,PL07.,Gardiner,"University College London, London, United Kingdom","Epilepsy is a disorder characterised by recurrent episodes of  abnormal over activity of the brain known as epileptic seizures. There  are many causes but a genetic aetiology is present in about 40% of  cases. Genetic epilepsies are usefully categorised by mechanism of  inheritance (mendelian, âcomplexâ inheritance, chromosomal) and into  âsymptomaticâ in which there is a recognisable structural or functional Plenary Lectures44 45 abnormality of the brain, or âidiopathicâ (primary) in which there is no  identifiable cause other than a presumed genetic one. In the last decade, rapid progress has been made in understanding  the molecular genetic basis of human mendelian epilepsies.  Symptomatic mendelian epilepsies are caused by a wide variety  of genes in which mutations cause abnormal brain development,  neurodegeneration or altered brain metabolism. Ten genes have  now been identified in human mendelian idiopathic epilepsies, all but  one of which encode ion channels: CHRNA4, CHRNB2, GABRA1,  GABRG2, SCN1A, SCN2B, SCN1B. KCNQ2, KCNQ3  and LGI1 .  These underlie a wide range of overlapping phenotypes. In parallel,  genes underlying spontaneously occurring mouse mutants with  spike wave epilepsy have been shown to encode subunits of voltage  dependant calcium channels. Progress in the investigation of idiopathic generalised epilepsies  with âcomplexâ inheritance such as juvenile myoclonic epilepsy (JME)  and childhood absence epilepsy (CAE) has been much slower.  Association studies using SNP haplotypes in candidate ion channel  genes may allow advances in the next decade. References: 1. Elmslie F, Gardiner RM, Lehesjoki A E (2002) The epilepsies in  Emery and Rimoinâs Principles and Practice of Medical Genetics.  Rimoin DL, Connor J, Pyeritz RE, Korf B (eds) Churchill Livingstone,  New York pp 3036 3075. 2. Meisler MH, Kearney J, Ottman R, Escayg A (2001) Identification  of epilepsy genes in human and mouse. Annual Review of Genetics   35, 567 588.",2003
Congenital muscular dystrophies with stuctural  changes of the centralnervous system: disorders of O  glycosylation,PL08.,Voit,"Dept Pediatric & Pediatric Neurology, Essen, Germany.",No abstract available.,2003
Mitochondrial DNA disorders,PL09.,M. Turnbull,"The Medical School, Newcastle upon Tyne, United Kingdom",No abstract available.,2003
Overview on limb development,PL10.,Tickle,"University of Dundee, Dundee, United Kingdom",No abstract available.,2003
